ID,U
mp-12444,64415.26607631213
mp-22916,15359.780736583914
mp-28266,52723.66758365342
mp-7581,24439.177403361155
mp-14116,39264.07734939013
mp-23067,70918.44464806121
mp-29055,45787.422599791
mp-753802,108789.52013423576
mp-15777,54320.333883820655
mp-23120,77246.75136417094
mp-23268,15247.111986271148
mp-27315,71424.7592601883
mp-684,48145.409996200775
mp-976876,50463.51828349502
mp-9844,145424.363995154
mp-1519,15471.753671427245
mp-2229,17207.347748106567
mp-570935,32223.83075879439
mp-989629,69184.14813131196
mp-22905,16216.877896809756
mp-252,18032.974433255466
mp-3159,56950.67965125746
mp-37216,67778.98696478138
mp-961685,23523.34446727826
mp-10219,53679.6472781681
mp-568032,54441.81612413888
mp-9063,91583.81444428537
mp-4636,37564.16015478513
mp-567744,91611.9215115686
mp-626724,107883.38378913728
mp-66,36049.54447289453
mp-546500,50115.37943454957
mp-567652,78014.95749047666
mp-753287,34164.39225741037
mp-8276,40281.19004816814
mp-5048,64163.38620052127
mp-7938,67010.34784210651
mp-7939,64064.0911542517
mp-315,23700.12265533448
mp-554412,134081.77873108018
mp-568560,15064.99589710655
mp-27985,52229.59798221659
mp-573763,90342.19233830553
mp-999549,35010.92032037952
mp-10155,107564.65200831828
mp-981,24592.87151130288
mp-10336,91889.25512817044
mp-11019,76027.9439201491
mp-1500,15527.85044926326
mp-2030,107136.00471838744
mp-29403,46117.05148477067
mp-31002,53061.82318575103
mp-581833,49428.70101826342
mp-28591,55259.04722646733
mp-1190,15766.297263115428
mp-13033,15878.300860356669
mp-697133,76117.25770878878
mp-23222,33319.371750258
mp-30459,23721.0418776196
mp-6059,74474.50618667844
mp-7089,46760.7354402556
mp-8407,51621.22543718929
mp-31212,58805.85952885377
mp-3419,104108.46526594406
mp-5431,89661.38727673562
mp-1009127,15179.15124451592
mp-23197,15027.561907181094
mp-2657,58053.27564196951
mp-27303,102245.86095536994
mp-2961,70878.56234064636
mp-5967,24519.2026866582
mp-753671,77205.38385591829
mp-8257,79670.59824321303
mp-3810,90739.34041462636
mp-4043,63537.84870019625
mp-546011,67013.18680124887
mp-974603,49171.6363006533
mp-13868,92253.8663911715
mp-634676,73524.1653468935
mp-975140,63866.22585023225
mp-22583,94742.38442620344
mp-22956,55278.61026180554
mp-755287,69358.66213138383
mp-8759,104879.40945201472
mp-9774,51342.010536759175
mp-10955,54111.848874659394
mp-181,93118.22287139086
mp-2672,68949.03758729037
mp-27839,70165.33099964794
mp-7375,46453.18973269095
mp-1415,15678.789530401296
mp-23023,49697.21190390333
mp-5784,113026.3653513408
mp-643264,186927.6153378244
mp-8891,124365.8493443792
mp-8963,54919.00191152542
mp-983565,70567.49765794998
mp-991652,63039.53052213449
mp-10615,24779.72077680174
mp-1522,54466.05604725338
mp-23302,15060.03011568384
mp-2646,39374.94882525275
mp-6450,99444.25055201582
mp-7643,61040.90628263419
mp-9731,45924.0904007127
mp-9794,92976.85127516004
mp-996943,74556.6398541762
mp-1009220,18975.700545607164
mp-11327,22718.38526127325
mp-2472,16549.324729672768
mp-2695,47131.10871323888
mp-552488,65440.23647389476
mp-961713,23522.66844705437
mp-2008,49671.59006248055
mp-23550,100877.5145277093
mp-3762,67853.45063247945
mp-5588,76157.33154261464
mp-830,20440.07062556981
mp-989563,70205.90444143799
mp-12927,112690.76892622674
mp-546864,78930.16347183388
mp-696804,73063.40339170823
mp-755478,86771.65633689088
mp-8799,46755.4118866997
mp-9437,24443.24969474894
mp-23405,68526.0526031888
mp-5078,101042.134782601
mp-1014244,37750.88505247949
mp-10694,35325.98452520193
mp-16764,61069.66998638896
mp-2576,91757.92405032428
mp-2894,23524.40678168945
mp-546125,122790.0559550054
mp-682,16414.382853706327
mp-7908,55780.1206629055
mp-961661,24466.496088738026
mp-989541,73314.23468081515
mp-22862,15592.169002175784
mp-23870,21429.79115313465
mp-15954,97353.371615779
mp-5046,76319.80014430746
mp-568273,31322.415680735863
mp-568662,23160.89859188781
mp-555166,63837.1689093462
mp-5853,143913.3878236436
mp-5955,70850.64482824647
mp-614603,15037.2085118616
mp-752446,57436.188119011305
mp-7849,65953.97190660852
mp-20329,71823.89237829308
mp-8289,64786.60535335046
mp-961684,24319.163349469567
mp-997089,36661.82852777789
mp-1143,108993.815388522
mp-406,15323.340815756446
mp-7394,64362.94887866111
mp-997618,19673.11379983864
mp-15953,106684.60232977135
mp-8459,135874.32897998014
mp-989514,75283.45168193794
mp-989527,75780.99198428303
mp-23193,15366.358466844618
mp-6492,90446.03330630357
mp-1672,16179.899531179348
mp-27138,53899.99500392492
mp-754212,68151.10368351043
mp-28553,65491.29935477668
mp-675011,79775.72414615631
